name,type,data_type,description,example
referin,table,string,ตารางนี้เก็บข้อมูลการส่งต่อผู้ป่วยเข้า (Refer In) ใช้สำหรับระบุตัวตนและข้อมูลพื้นฐานที่ไม่เปลี่ยนแปลงบ่อย ห้ามใช้ตารางนี้เพียงลำพังหากคำถามเกี่ยวข้องกับการมารับบริการในวันนั้นๆ (Visits) การตรวจรักษา หรือค่าใช้จ่าย ให้ใช้ icode (รหัสยา) เป็น Key หลักในการเชื่อมต่อ (Join) กับตารางอื่นๆ,NULL
vn,column,int,เลขที่การมารับบริการ (Visit Number),250418173341
rfrcs,column,string,รหัสสาเหตุการส่งต่อ,"NULL"
refer_date,column,date,วันที่ทำใบส่งต่อ,1982-04-18
hospcode,column,string,รหัสสถานพยาบาลต้นทาง,11249
date_in,column,date,วันที่รับเข้า (กรณี Refer In),1982-04-18
clinic,column,string,รหัสคลินิก,NULL
hn,column,int,เลขประจำตัวผู้ป่วย (Hospital Number),0107526
icd10,column,string,รหัสโรคที่วินิจฉัย,"NULL"
refer_type,column,string,ประเภทการส่งต่อ (เช่น ส่งต่อรักษา/ส่งต่อกลับ),1
docno,column,string,เลขที่เอกสารใบส่งต่อ,5408873
depcode,column,string,รหัสแผนก,NULL
refer_point,column,string,จุดประสงค์การส่งต่อ,"NULL"
staff,column,string,รหัสเจ้าหน้าที่ผู้บันทึก,mrs009
confirm_date,column,date,วันที่ยืนยันการส่งต่อ,NULL
pre_diagnosis,column,string,การวินิจฉัยเบื้องต้น,NULL
ac_type,column,string,ประเภทอุบัติเหตุ/ฉุกเฉิน,"NULL"
claim_code,column,string,รหัสเคลม/รหัสเรียกเก็บ,"NULL"
ac_ae,column,string,ระบุว่าเป็นกรณีฉุกเฉิน (AE),"NULL"
ac_emtype,column,string,ประเภทผู้ป่วยฉุกเฉิน,"NULL"
hos_guid,column,string,GUID ของสถานพยาบาล,NULL
has_expire_date,column,string,มีวันหมดอายุใบส่งต่อหรือไม่,N
expire_date,column,date,วันที่หมดอายุใบส่งต่อ,NULL
f43_causein_id,column,string,รหัสสาเหตุการส่งต่อเข้า (ตามแฟ้ม 43 แฟ้ม),NULL
refer_hospcode,column,string,รหัสสถานพยาบาลปลายทาง,11249
referin_number,column,string,เลขที่รับ Refer In,NULL
referout_number,column,string,เลขที่ Refer Out,NULL
referin_id,column,string,รหัสรายการ Refer In,NULL
refer_time,column,time,เวลาทำรายการส่งต่อ,NULL
refer_begin_time,column,time,เวลาเริ่มดำเนินการส่งต่อ,NULL
refer_end_time,column,time,เวลาสิ้นสุดการส่งต่อ,NULL
refer_process_time_hour,column,int,ระยะเวลาดำเนินการ (ชั่วโมง),NULL
refer_process_time_minute,column,int,ระยะเวลาดำเนินการ (นาที),NULL
refer_response_type_id,column,string,รหัสประเภทการตอบรับการส่งต่อ,NULL
refer_doctor_name,column,string,ชื่อแพทย์ผู้รับ/ผู้ส่งต่อ,NULL
refer_diag,column,string,วินิจฉัยที่ระบุในใบส่งต่อ,NULL
cloud_refer_cause_text,column,string,ข้อความสาเหตุการส่งต่อ (Cloud Refer),NULL
cloud_rfrcs_text,column,string,ข้อความรายละเอียดสาเหตุการส่งต่อ,"NULL"
