name,type,data_type,description,example
referout,table,string,ตารางนี้เก็บข้อมูลการส่งต่อผู้ป่วยออก (Refer Out) ใช้สำหรับระบุตัวตนและข้อมูลพื้นฐานที่ไม่เปลี่ยนแปลงบ่อย ห้ามใช้ตารางนี้เพียงลำพังหากคำถามเกี่ยวข้องกับการมารับบริการในวันนั้นๆ (Visits) การตรวจรักษา หรือค่าใช้จ่าย ให้ใช้ icode (รหัสยา) เป็น Key หลักในการเชื่อมต่อ (Join) กับตารางอื่นๆ,NULL
referout_id,column,string,รหัสรายการส่งต่อออก (Primary Key),19445
vn,column,int,เลขที่การมารับบริการ,123456789
rfrcs,column,string,รหัสสาเหตุการส่งต่อ,1
refer_date,column,date,วันที่ทำใบส่งต่อ,2014-04-18
hospcode,column,string,รหัสสถานพยาบาลต้นทาง,10724
refer_type,column,string,ประเภทการส่งต่อ,1
refer_cause,column,string,สาเหตุการส่งต่อ (ข้อความ),1
refer_number,column,string,เลขที่ใบส่งต่อ,12345678
doctor,column,string,รหัสแพทย์ผู้ส่งต่อ,011
clinic,column,string,รหัสคลินิก,NULL
refer_point,column,string,จุดประสงค์การส่งต่อ,IPD
refercheck1,column,string,สถานะตรวจสอบขั้นตอนที่ 1,NULL
refercheck2,column,string,สถานะตรวจสอบขั้นตอนที่ 2,NULL
refercheck3,column,string,สถานะตรวจสอบขั้นตอนที่ 3,NULL
refercheck4,column,string,สถานะตรวจสอบขั้นตอนที่ 4,NULL
refercheck2_date,column,date,วันที่ตรวจสอบขั้นตอนที่ 2,NULL
refercheck3_text,column,string,หมายเหตุขั้นตอนที่ 3,NULL
refercheck4_text,column,string,หมายเหตุขั้นตอนที่ 4,NULL
department,column,string,แผนกที่ส่งต่อ,IPD
refer_time,column,time,เวลาทำรายการส่งต่อ,09:05:13
hn,column,int,เลขประจำตัวผู้ป่วย,0161376
pttype,column,string,ประเภทสิทธิการรักษา,08
pre_diagnosis,column,string,การวินิจฉัยเบื้องต้น,NULL
pmh,column,string,ประวัติโรคประจำตัว (Past Medical History),""""""
hpi,column,string,ประวัติอาการปัจจุบัน (History of Present Illness),""""""
lab_text,column,string,ผลตรวจทางห้องปฏิบัติการ,""""""
treatment_text,column,string,การรักษาที่ให้ไปแล้ว,""""""
other_text,column,string,ข้อมูลเพิ่มเติมอื่น ๆ,""""""
pdx,column,string,วินิจฉัยหลัก (Primary Diagnosis),S0600
docno,column,string,เลขที่เอกสาร,NULL
depcode,column,string,รหัสแผนก,048
confirm_date,column,date,วันที่ยืนยันการส่งต่อ,NULL
confirm_text,column,string,ข้อความยืนยัน,""""""
confirm_diagnosis,column,string,วินิจฉัยยืนยัน,NULL
dest_hospital_department,column,string,แผนกปลายทางของโรงพยาบาลที่รับต่อ,NULL
spclty,column,string,สาขาเฉพาะทาง,03
with_nurse,column,string,มีพยาบาลไปด้วยหรือไม่,NULL
with_ambulance,column,string,ใช้รถพยาบาลหรือไม่,NULL
due_date,column,date,วันที่ครบกำหนด,NULL
referout_status_id,column,string,รหัสสถานะใบส่งต่อออก,NULL
referout_transfer_hospcode,column,string,รหัสสถานพยาบาลที่โอนต่อ,NULL
hos_guid,column,string,GUID ของสถานพยาบาล,{F86D5AB5-B3F9-4563-9C0B-A231DD0C4C4C}
refer_begin_time,column,time,เวลาเริ่มดำเนินการ,NULL
refer_end_time,column,time,เวลาสิ้นสุดการส่งต่อ,NULL
refer_process_time_hour,column,int,ระยะเวลา (ชั่วโมง),NULL
refer_process_time_minute,column,int,ระยะเวลา (นาที),NULL
refer_response_type_id,column,string,รหัสประเภทการตอบรับ,NULL
senttonet,column,string,สถานะส่งข้อมูลเข้าระบบเครือข่าย,NULL
rfo_sent,column,string,สถานะส่ง Refer Out แล้ว,NULL
refer_hospcode,column,string,รหัสสถานพยาบาลปลายทาง,10724
expire_date,column,date,วันที่หมดอายุใบส่งต่อ,NULL
dest_hospcode_instruction_text,column,string,คำแนะนำถึงปลายทาง,""""""
refer_write_staff,column,string,เจ้าหน้าที่ผู้เขียนใบส่งต่อ,NULL
refer_in_province,column,string,ส่งต่อภายในจังหวัด,NULL
refer_in_region,column,string,ส่งต่อภายในเขตสุขภาพ,NULL
refer_response_text,column,string,ข้อความตอบรับจากปลายทาง,""""""
vstdate,column,date,วันที่มารับบริการ,2014-04-13
i_refer_number,column,string,เลขที่ Refer ภายในระบบ,""""""
diagnosis_text,column,string,รายละเอียดวินิจฉัย,""""""
cloud_refer_number,column,string,เลขที่ Cloud Refer,NULL
ptstatus_text,column,string,สถานะผู้ป่วย,""""""
referout_type_id,column,string,รหัสประเภทการส่งต่อออก,NULL
referout_emergency_type_id,column,string,รหัสประเภทฉุกเฉิน,NULL
referout_sp_type_id,column,string,รหัสประเภทสิทธิพิเศษ,NULL
request_text,column,string,ข้อความคำขอส่งต่อ,""""""
car_registration_no,column,string,ทะเบียนรถที่ใช้ส่งต่อ,NULL
refer_acuity_type_id,column,string,รหัสระดับความรุนแรง (Acuity),NULL
update_datetime,column,datetime,วันที่/เวลาแก้ไขล่าสุด,NULL
accept_point,column,string,จุดรับผู้ป่วยปลายทาง,NULL
with_doctor,column,string,มีแพทย์ไปด้วยหรือไม่,NULL
issue_digital_certificate,column,string,ออกใบรับรองดิจิทัลหรือไม่,NULL
service_request_sct_code,column,string,รหัสบริการ (SNOMED CT),NULL
service_request_sct_name,column,string,ชื่อบริการ (SNOMED CT),NULL
update_moph_phr,column,string,อัปเดตข้อมูลไปยัง MOPH PHR,NULL
doctor_cert_id,column,string,รหัสใบประกอบวิชาชีพแพทย์,NULL
issued_digital_cert,column,string,ออกใบรับรองดิจิทัลแล้ว,NULL
moph_refer_expire_type_id,column,string,ประเภทการหมดอายุ Refer (MOPH),NULL
issued_moph_refer,column,string,สถานะออกใบส่งต่อ MOPH แล้ว,"


"
